name,company,location,salary,industry,type,skills
Marketing Internship,Red Ape Solutions,Malaysia,Negotiated,Business Development | Customer Service | Marketing | Project Management,Full-Time | Internship,Business Development | Event Management | Marketing
Content & Community Intern Featured,iCHEF,Singapore,Negotiated,Marketing | Editorial,Internship,communications | editorial | marketing
Mid level Odoo Developer,Soda In Mind,Indonesia,12500000 - 17500000 IDR,Others,Full-Time,Javascript | odoo
Web Developer,My Startup 45,Indonesia,Negotiated,Full-stack Developer,Full-Time,HTML
Junior Operations Manager,Ematic Solutions,Vietnam,Negotiated,Corporate Support,Full-Time,Operations Management | Business Operations
Chief Technology Officer (CTO),Active8me,Singapore,8000 - 12000 SGD,Full-stack Developer,Full-Time,technology development | mongoDB | node.js | AWS | software engineering | mobile development | software development
Remote Full-stack JavaScript Developer (Node.js) Remote Available,Scopic Software,Malaysia,Negotiated,Full-stack Developer,Full-Time | Part-Time,Angular | React | Javascript | Node
Junior ReactJS Developer,Upstack Studio,Malaysia,1000 - 1500 SGD,Front-End Developers,Full-Time,Redux Saga | Redux | REST API | JSX | ES6 | Git | Github | ReactJS
Business Strategy Intern,Enabling Win,Singapore,Negotiated,Analytics | Others,Part-Time | Freelance | Internship | Temporary,Strategic Thinking | Data Analysis | Analytics | Writing | Communication | Microsoft Office
Software Developer,The Luxe Nomad,Malaysia,1000 - 2500 USD,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,javascript | nodeJS | React | Vue | ES6 | python | Django | celery | MySQL | PostgreSQL | backend | frontend | full stacked | engineer | developer | software
Partner Asia,Douroosi,Indonesia,Negotiated,Analytics | Business Development,Full-Time,communication | Problem solving | Networking | Leadership
Junior Marketing & Sales Executive,Elyzian Interactive,Malaysia,Negotiated,Marketing,Full-Time | Contract,basic graphic design | public relations | content marketing | social media management | Basic digital marketing
BUSINESS DEVELOPMENT & MARKETING INTERNSHIP,Arcadier,Singapore,800 - 800 SGD,Business Development | Marketing,Internship,Powerpoint | Presentation Skills | hardworking | Spoken & Written Engish | Leadership;
ADMINISTRATIVE SUPPORT ASSISTANT,Regional Press,Singapore,1200 - 2000 SGD,Customer Service,Full-Time | Contract,meticulous | detail-oriented
Customer Service Representative,Servishero Pte Ltd,Singapore,1600 - 1800 SGD,Customer Service,Full-Time,proficient in English | knows how to properly handle customer/vendor relations | great communicator | computer skills | experience in customer service
Software Engineer (Web),Oromico,Singapore,3500 - 4500 SGD,Front-End Developers,Full-Time,HTML | JAVASCRIPT | CSS
Personal Assistant,Letstalk Pte Ltd,Singapore,2500 - 3000 SGD,Corporate Support | Others,Full-Time,Resourcesful | Good Time Management | Patient | Sense of Urgency | English Language | Good Communication Skill | Tutoring | Coaching | Mentoring
Web Developer,Letstalk Pte Ltd,Singapore,2500 - 3500 SGD,Full-stack Developer | Front-End Developers | Others,Full-Time,Vue.js | JavaScript | React JS | Java | CCS | HTML
"Executive, Operations & Customer Service",GlobalTix Pte Ltd,Thailand,Negotiated,Corporate Support | Customer Service,Full-Time,english | organisation skils | customer service
Looking for Sales Professional,SOCO Sales Training,Singapore,1000 - 2000 SGD,Business Development,Part-Time,closing deals | sales
Software Engineer,Ten of Ten Pte Ltd,Singapore,4000 - 8000 SGD,Technical Support | Full-stack Developer | Front-End Developers | Back-End Developers | Software-system Administrator | Hardware System Administrator,Full-Time,Node.JS | Amazon Web Services | ActiveMQ | RabbitMQ | memcache | Redis
Freelance digital content creator Remote Available,Good Escapes,Malaysia,Negotiated,Public Relations | Editorial,Freelance | Internship | Contract,content creation | copywriting | graphic design | photoshop
Application Developer Intern,WerkDone,Singapore,600 - 1000 SGD,System Software Analyst,Internship,logical thinking | sql | html
Social Media Intern,StartupX,Singapore,500 - 1000 SGD,Marketing,Internship,"Marketing, Community, Social Media, Communication"
Photo storyteller & editor (editing travel/ landscape photos) Remote Available,TripCanvas,Malaysia,Negotiated,Design | Marketing | Others,Full-Time | Part-Time | Freelance | Contract,Photoshop | Lightroom | Dslr | Camera | Social media | Facebook | Instagram
Technology Operations Specialist,Cyberdyne Tech Exchange Pte Ltd,Singapore,2600 - 4500 SGD,Technical Support | Software-system Administrator | Hardware System Administrator,Full-Time,Good team spirit | Self-discipline | Meticulous workmanship | AWS services | Linux | Windows Operating System | Microsoft Software
Merchant Support Coordinator,iKala Vietnam Company Limited,Vietnam,400 - 600 USD,Corporate Support | Customer Service,Full-Time,English | coordinating skill | communication skill
Sales Executive,JIN Design LLP,Singapore,2500 - 2500 SGD,Business Development | Marketing | Others,Full-Time,Client Relations | Client Services | Business Development | Marketing | Cold Calling | Sales Marketing | Sales
Product Manager,Enabling Win,Singapore,Negotiated,Business Development | Others,Full-Time,Consulting | Category Analysis | Analysis | Research
CONTENT & COMMUNITY EXECUTIVE,iCHEF,Malaysia,Negotiated,Marketing | Editorial,Full-Time,community | marketing | editorial
Retail Assistant,Timeless Gifts Pte Ltd,Singapore,Negotiated,Customer Service | Others,Full-Time | Part-Time | Internship | Contract,Marketing | Sales
